# Date	real
05/23/26	15.71
05/23/26	15.72
05/23/26	15.73
05/23/26	15.73
05/23/26	15.88
05/23/26	15.72
05/23/26	16.36
05/23/26	16.36
05/23/26	16.34
05/23/26	16.36
06/01/26	16.35
06/01/26	16.35
06/01/26	16.37
06/01/26	16.36
06/01/26	16.35
06/01/26	16.35
06/01/26	16.36
06/01/26	16.33
06/01/26	16.4
06/01/26	16.35
