# Date	real
05/23/26	3.418
05/23/26	3.255
05/23/26	3.252
05/23/26	3.254
05/23/26	3.25
05/23/26	3.255
05/23/26	3.26
05/23/26	3.257
05/23/26	3.252
05/23/26	3.25
06/02/26	3.268
06/02/26	3.26
06/02/26	3.252
06/02/26	3.237
06/02/26	3.249
06/02/26	3.247
06/02/26	3.425
06/02/26	3.422
06/02/26	3.42
06/02/26	3.421
