# Date	real
05/23/26	88.70
05/23/26	88.63
05/23/26	88.63
05/23/26	88.65
05/23/26	88.69
05/23/26	88.84
05/23/26	88.46
05/23/26	89.61
05/23/26	88.70
05/23/26	88.67
06/01/26	88.18
06/01/26	88.19
06/01/26	88.16
06/01/26	88.16
06/01/26	88.21
06/01/26	102.52
06/01/26	88.21
06/01/26	88.22
06/01/26	88.19
06/01/26	88.15
