# Date	real
05/23/26	3.532
05/23/26	3.529
05/23/26	3.531
05/23/26	3.532
05/23/26	3.363
05/23/26	3.359
05/23/26	3.353
05/23/26	3.36
05/23/26	3.365
05/23/26	3.363
06/02/26	3.372
06/02/26	3.36
06/02/26	3.358
06/02/26	3.361
06/02/26	3.383
06/02/26	3.356
06/02/26	3.358
06/02/26	3.338
06/02/26	3.37
06/02/26	3.363
