# Date	real
05/23/26	4.54
05/23/26	4.535
05/23/26	4.533
05/23/26	4.533
05/23/26	4.534
05/23/26	4.571
05/23/26	4.561
05/23/26	4.563
05/23/26	4.534
05/23/26	4.536
06/01/26	4.559
06/01/26	4.556
06/01/26	4.576
06/01/26	4.565
06/01/26	4.563
06/01/26	4.575
06/01/26	4.566
06/01/26	4.566
06/01/26	4.555
06/01/26	4.563
